Signal Id,Timestamp,Event Code,Event Parameter
7115,08/09/2023 15:32:20.800,9,2
7115,08/09/2023 15:33:47.000,1,2
7115,08/09/2023 15:34:45.700,6,2
7115,08/09/2023 15:34:45.700,8,2
7115,08/09/2023 15:34:50.800,9,2
7115,08/09/2023 15:36:17.000,1,2
7115,08/09/2023 15:37:15.700,6,2
7115,08/09/2023 15:37:15.700,8,2
7115,08/09/2023 15:37:20.800,9,2
7115,08/09/2023 15:38:46.000,1,2
7115,08/09/2023 15:39:45.700,6,2
7115,08/09/2023 15:39:45.700,8,2
7115,08/09/2023 15:39:50.800,9,2
7115,08/09/2023 15:41:17.000,1,2
7115,08/09/2023 15:42:15.700,6,2
7115,08/09/2023 15:42:15.700,8,2
7115,08/09/2023 15:42:20.800,9,2
7115,08/09/2023 15:43:47.000,1,2
7115,08/09/2023 15:44:45.700,6,2
7115,08/09/2023 15:44:45.700,8,2
7115,08/09/2023 15:44:50.800,9,2
7115,08/09/2023 15:46:17.000,1,2
7115,08/09/2023 15:47:15.700,6,2
7115,08/09/2023 15:47:15.700,8,2
7115,08/09/2023 15:47:20.800,9,2
7115,08/09/2023 15:48:47.000,1,2
7115,08/09/2023 15:49:45.700,6,2
7115,08/09/2023 15:49:45.700,8,2
7115,08/09/2023 15:49:50.800,9,2
7115,08/09/2023 15:51:17.000,1,2
7115,08/09/2023 15:52:15.700,6,2
7115,08/09/2023 15:52:15.700,8,2
7115,08/09/2023 15:52:20.800,9,2
7115,08/09/2023 15:53:42.500,1,2
7115,08/09/2023 15:54:45.700,6,2
7115,08/09/2023 15:54:45.700,8,2
7115,08/09/2023 15:54:50.800,9,2
7115,08/09/2023 15:56:17.000,1,2
7115,08/09/2023 15:57:15.700,6,2
7115,08/09/2023 15:57:15.700,8,2
7115,08/09/2023 15:57:20.800,9,2
7115,08/09/2023 15:58:47.000,1,2
7115,08/09/2023 15:59:45.700,6,2
7115,08/09/2023 15:59:45.700,8,2
7115,08/09/2023 15:59:50.800,9,2
7115,08/09/2023 16:01:14.100,1,2
7115,08/09/2023 16:02:15.700,6,2
7115,08/09/2023 16:02:15.700,8,2
7115,08/09/2023 16:02:20.800,9,2
7115,08/09/2023 16:03:47.000,1,2
7115,08/09/2023 16:04:45.700,6,2
7115,08/09/2023 16:04:45.700,8,2
7115,08/09/2023 16:04:50.800,9,2
7115,08/09/2023 16:06:17.000,1,2
7115,08/09/2023 16:07:15.700,6,2
7115,08/09/2023 16:07:15.700,8,2
7115,08/09/2023 16:07:20.800,9,2
7115,08/09/2023 16:08:47.000,1,2
7115,08/09/2023 16:09:45.700,6,2
7115,08/09/2023 16:09:45.700,8,2
7115,08/09/2023 16:09:50.800,9,2
7115,08/09/2023 16:11:17.000,1,2
7115,08/09/2023 16:12:15.700,6,2
7115,08/09/2023 16:12:15.700,8,2
7115,08/09/2023 16:12:20.800,9,2
7115,08/09/2023 16:13:47.000,1,2
7115,08/09/2023 16:14:45.700,6,2
7115,08/09/2023 16:14:45.700,8,2
7115,08/09/2023 16:14:50.800,9,2
7115,08/09/2023 16:16:17.000,1,2
7115,08/09/2023 16:17:15.700,6,2
7115,08/09/2023 16:17:15.700,8,2
7115,08/09/2023 16:17:20.800,9,2
7115,08/09/2023 16:18:47.000,1,2
7115,08/09/2023 16:19:45.700,6,2
7115,08/09/2023 16:19:45.700,8,2
7115,08/09/2023 16:19:50.800,9,2
7115,08/09/2023 16:21:17.000,1,2
7115,08/09/2023 16:22:15.700,6,2
7115,08/09/2023 16:22:15.700,8,2
7115,08/09/2023 16:22:20.800,9,2
7115,08/09/2023 16:23:47.000,1,2
7115,08/09/2023 16:24:45.700,6,2
7115,08/09/2023 16:24:45.700,8,2
7115,08/09/2023 16:24:50.800,9,2
7115,08/09/2023 16:26:17.000,1,2
7115,08/09/2023 16:27:15.700,6,2
7115,08/09/2023 16:27:15.700,8,2
7115,08/09/2023 16:27:20.800,9,2
7115,08/09/2023 16:28:44.300,1,2
7115,08/09/2023 16:29:45.700,6,2
7115,08/09/2023 16:29:45.700,8,2
7115,08/09/2023 16:29:50.800,9,2
7115,08/09/2023 16:31:17.000,1,2
7115,08/09/2023 16:32:15.700,6,2
7115,08/09/2023 16:32:15.700,8,2
7115,08/09/2023 16:32:20.800,9,2
7115,08/09/2023 16:33:46.200,1,2
7115,08/09/2023 16:34:45.700,6,2
7115,08/09/2023 16:34:45.700,8,2
7115,08/09/2023 16:34:50.800,9,2
7115,08/09/2023 16:36:17.000,1,2
7115,08/09/2023 16:37:15.700,6,2
7115,08/09/2023 16:37:15.700,8,2
7115,08/09/2023 16:37:20.800,9,2
7115,08/09/2023 16:38:47.000,1,2
7115,08/09/2023 16:39:45.700,6,2
7115,08/09/2023 16:39:45.700,8,2
7115,08/09/2023 16:39:50.800,9,2
7115,08/09/2023 16:41:14.100,1,2
7115,08/09/2023 16:42:15.700,6,2
