SignalIdentifier,EventCode,EventParam,Timestamp
7115,81,20,24:02.4
7115,81,19,24:02.6
7115,81,21,24:05.2
7115,82,21,24:06.6
7115,81,21,24:07.0
7115,82,21,24:07.3
7115,82,21,24:09.0
7115,81,21,24:10.1
7115,81,21,24:11.7
7115,82,20,24:12.8
7115,81,20,24:14.1
7115,82,19,24:25.7
7115,81,19,24:26.7
7115,82,20,24:50.4
7115,81,20,24:51.8
7115,82,19,24:53.1
7115,82,21,25:08.6
7115,82,20,25:11.9
7115,82,21,25:14.6
7115,82,19,25:16.6
7115,82,20,25:19.8
7115,82,20,25:21.8
7115,82,19,25:28.0
7115,81,19,25:55.1
7115,82,19,25:57.2
7115,82,21,26:16.1
7115,81,19,26:20.3
7115,81,20,26:20.8
7115,81,21,26:21.2
7115,81,21,26:21.6
7115,81,20,26:22.2
7115,81,21,26:22.3
7115,81,19,26:23.0
7115,81,20,26:23.8
7115,82,21,26:24.1
7115,81,21,26:26.1
7115,82,20,26:27.5
7115,82,21,26:27.9
7115,81,19,26:28.0
7115,82,19,26:28.5
7115,81,21,26:29.7
7115,81,20,26:29.8
7115,81,19,26:30.2
7115,82,19,26:30.3
7115,82,19,26:30.6
7115,81,19,26:31.4
7115,81,19,26:31.8
7115,82,19,26:31.8
7115,81,19,26:34.1
7115,82,20,26:34.5
7115,81,20,26:35.3
7115,82,19,26:55.2
7115,81,19,26:55.8
7115,82,21,27:05.6
7115,81,21,27:07.1
7115,82,20,27:27.9
7115,82,19,27:29.6
7115,82,20,27:39.9
7115,82,20,27:41.2
7115,82,19,27:53.1
7115,82,21,27:58.0
7115,82,21,28:10.1
7115,81,19,28:11.3
7115,82,19,28:14.2
7115,82,19,28:30.8
7115,81,19,28:48.9
7115,81,20,28:49.0
7115,81,21,28:49.8
7115,82,21,28:50.4
7115,82,19,28:50.4
7115,81,19,28:51.7
7115,81,20,28:51.8
7115,81,20,28:51.9
7115,81,21,28:51.9
7115,81,19,28:52.0
7115,82,20,28:52.1
7115,81,21,28:52.3
7115,82,19,28:52.3
7115,81,20,28:52.5
7115,81,19,28:53.0
7115,82,19,28:53.7
7115,81,19,28:54.2
7115,82,20,28:55.2
7115,81,19,28:55.3
7115,82,19,28:55.7
7115,81,19,28:56.0
7115,81,20,28:56.6
7115,82,19,29:02.6
7115,82,20,29:02.8
7115,81,19,29:03.8
7115,81,20,29:04.2
7115,82,21,29:06.5
7115,81,21,29:07.7
7115,82,19,29:19.5
7115,81,19,29:20.7
7115,82,20,29:25.3
7115,81,20,29:26.1
7115,82,21,29:41.2
7115,81,21,29:42.0
7115,82,19,29:54.3
7115,82,19,30:04.5
7115,82,20,30:04.6
7115,82,21,30:10.6
7115,82,21,30:11.5
7115,82,21,30:15.0
7115,81,21,30:17.8
7115,82,21,30:19.4
7115,82,19,30:26.2
7115,82,20,30:56.0
7115,81,20,30:58.0
7115,82,20,31:00.2
7115,81,19,31:02.8
7115,82,20,31:03.4
7115,82,19,31:09.7
7115,81,19,31:10.4
7115,82,19,31:20.9
7115,81,20,31:21.8
7115,81,21,31:21.9
7115,82,21,31:22.5
7115,81,21,31:22.7
7115,81,20,31:23.2
