SignalId,timestamp,eventCode,eventParam
7707,12/25/2025 7:47,115,6
7707,12/25/2025 7:54,105,3
7707,12/25/2025 7:54,102,3
7707,12/25/2025 7:54,116,3
7707,12/25/2025 7:55,116,3
7707,12/25/2025 7:55,107,3
7707,12/25/2025 7:55,104,3
7707,12/25/2025 8:16,112,3
7707,12/25/2025 8:16,118,3
7707,12/25/2025 8:16,113,3
7707,12/25/2025 8:17,114,3
7707,12/25/2025 8:17,113,3
7707,12/25/2025 8:17,119,3
7707,12/25/2025 8:17,115,3
7707,12/25/2025 8:19,112,6
7707,12/25/2025 8:19,118,6
7707,12/25/2025 8:19,113,6
7707,12/25/2025 8:19,114,6
7707,12/25/2025 8:19,119,6
7707,12/25/2025 8:19,115,6
7707,12/25/2025 8:43,112,4
7707,12/25/2025 8:43,118,4
7707,12/25/2025 8:43,114,4
7707,12/25/2025 8:43,119,4
7707,12/25/2025 8:44,115,4
7707,12/25/2025 8:44,112,5
7707,12/25/2025 8:44,118,5
7707,12/25/2025 8:44,113,5
7707,12/25/2025 8:44,119,5
7707,12/25/2025 8:44,115,5
7707,12/25/2025 8:50,112,6
7707,12/25/2025 8:50,118,6
7707,12/25/2025 8:50,114,6
7707,12/25/2025 8:50,113,6
7707,12/25/2025 8:50,114,6
7707,12/25/2025 8:50,113,6
7707,12/25/2025 8:50,119,6
7707,12/25/2025 8:50,115,6
7707,12/25/2025 9:16,112,3
7707,12/25/2025 9:16,118,3
7707,12/25/2025 9:16,114,3
7707,12/25/2025 9:16,119,3
7707,12/25/2025 9:16,115,3
7707,12/25/2025 9:18,112,6
7707,12/25/2025 9:18,118,6
7707,12/25/2025 9:18,113,6
7707,12/25/2025 9:18,119,6
7707,12/25/2025 9:18,115,6
7707,12/25/2025 9:43,112,4
7707,12/25/2025 9:43,118,4
7707,12/25/2025 9:43,114,4
7707,12/25/2025 9:43,113,4
7707,12/25/2025 9:43,114,4
7707,12/25/2025 9:43,113,4
7707,12/25/2025 9:43,119,4
7707,12/25/2025 9:43,115,4
7707,12/25/2025 9:45,112,6
7707,12/25/2025 9:45,118,6
7707,12/25/2025 9:45,114,6
7707,12/25/2025 9:46,113,6
7707,12/25/2025 9:46,114,6
7707,12/25/2025 9:46,113,6
7707,12/25/2025 9:46,119,6
7707,12/25/2025 9:46,115,6
7707,12/25/2025 10:17,112,3
7707,12/25/2025 10:17,118,3
7707,12/25/2025 10:17,114,3
7707,12/25/2025 10:17,119,3
7707,12/25/2025 10:17,115,3
7707,12/25/2025 10:20,112,6
7707,12/25/2025 10:20,118,6
7707,12/25/2025 10:20,114,6
7707,12/25/2025 10:20,119,6
7707,12/25/2025 10:20,115,6
7707,12/25/2025 10:44,112,4
7707,12/25/2025 10:44,118,4
7707,12/25/2025 10:44,114,4
7707,12/25/2025 10:44,113,4
7707,12/25/2025 10:45,119,4
7707,12/25/2025 10:45,115,4
7707,12/25/2025 10:48,112,6
7707,12/25/2025 10:48,118,6
7707,12/25/2025 10:48,113,6
7707,12/25/2025 10:48,114,6
7707,12/25/2025 10:48,119,6
7707,12/25/2025 10:48,115,6
7707,12/25/2025 11:17,112,3
7707,12/25/2025 11:17,118,3
7707,12/25/2025 11:17,114,3
7707,12/25/2025 11:17,119,3
7707,12/25/2025 11:17,115,3
7707,12/25/2025 11:19,112,6
7707,12/25/2025 11:19,118,6
7707,12/25/2025 11:19,113,6
7707,12/25/2025 11:20,114,6
7707,12/25/2025 11:20,119,6
7707,12/25/2025 11:20,115,6
7707,12/25/2025 11:44,112,4
7707,12/25/2025 11:44,118,4
7707,12/25/2025 11:44,114,4
7707,12/25/2025 11:44,113,4
7707,12/25/2025 11:44,114,4
