Location Id,Timestamp,Event Code,Event Parameter
7115,4/17/2023 8:05:38.1,82,2
7115,4/17/2023 8:05:46.2,82,2
7115,4/17/2023 8:05:52.4,82,2
7115,4/17/2023 8:05:54.1,82,2
7115,4/17/2023 8:05:55.1,82,2
7115,4/17/2023 8:05:58.5,82,2
7115,4/17/2023 8:06:1.1,82,2
7115,4/17/2023 8:06:2.7,82,2
7115,4/17/2023 8:06:3.3,82,2
7115,4/17/2023 8:06:5.7,82,2
7115,4/17/2023 8:06:7.0,82,2
7115,4/17/2023 8:06:7.3,82,2
7115,4/17/2023 8:06:7.7,82,2
7115,4/17/2023 8:06:8.7,82,2
7115,4/17/2023 8:06:9.2,82,2
7115,4/17/2023 8:06:10.7,82,2
7115,4/17/2023 8:06:11.1,82,2
7115,4/17/2023 8:06:11.9,82,2
7115,4/17/2023 8:06:14.8,82,2
7115,4/17/2023 8:06:16.2,82,2
7115,4/17/2023 8:06:17.8,82,2
7115,4/17/2023 8:06:21.5,82,2
7115,4/17/2023 8:06:21.9,82,2
7115,4/17/2023 8:06:23.6,82,2
7115,4/17/2023 8:06:25.2,82,2
7115,4/17/2023 8:06:28.7,82,2
7115,4/17/2023 8:06:29.6,82,2
7115,4/17/2023 8:06:30.4,82,2
7115,4/17/2023 8:06:33.5,82,2
7115,4/17/2023 8:06:33.7,82,2
7115,4/17/2023 8:06:37.9,82,2
7115,4/17/2023 8:06:38.7,82,2
7115,4/17/2023 8:06:40.4,82,2
7115,4/17/2023 8:06:41.7,82,2
7115,4/17/2023 8:06:42.3,82,2
7115,4/17/2023 8:06:43.6,82,2
7115,4/17/2023 8:06:44.8,82,2
7115,4/17/2023 8:06:47.7,82,2
7115,4/17/2023 8:06:47.9,82,2
7115,4/17/2023 8:06:50.7,82,2
7115,4/17/2023 8:06:50.9,82,2
7115,4/17/2023 8:06:51.7,82,2
7115,4/17/2023 8:06:52.7,82,2
7115,4/17/2023 8:06:54.2,82,2
7115,4/17/2023 8:06:56.0,82,2
7115,4/17/2023 8:06:57.2,82,2
7115,4/17/2023 8:06:58.6,82,2
7115,4/17/2023 8:06:59.4,82,2
7115,4/17/2023 8:07:6.8,82,2
7115,4/17/2023 8:07:10.7,82,2
7115,4/17/2023 8:07:11.5,82,2
7115,4/17/2023 8:07:11.7,82,2
7115,4/17/2023 8:07:12.2,82,2
7115,4/17/2023 8:07:12.9,82,2
7115,4/17/2023 8:07:15.2,82,2
7115,4/17/2023 8:07:17.4,82,2
7115,4/17/2023 8:07:17.8,82,2
7115,4/17/2023 8:07:19.4,82,2
7115,4/17/2023 8:07:20.6,82,2
7115,4/17/2023 8:07:21.0,82,2
7115,4/17/2023 8:07:32.1,82,2
7115,4/17/2023 8:07:32.4,82,2
7115,4/17/2023 8:07:34.6,82,2
7115,4/17/2023 8:07:37.1,82,2
7115,4/17/2023 8:07:37.6,82,2
7115,4/17/2023 8:07:37.9,82,2
7115,4/17/2023 8:07:38.9,82,2
7115,4/17/2023 8:07:39.8,82,2
7115,4/17/2023 8:07:43.2,82,2
7115,4/17/2023 8:07:44.0,82,2
7115,4/17/2023 8:07:50.3,82,2
7115,4/17/2023 8:07:50.6,82,2
7115,4/17/2023 8:07:52.3,82,2
7115,4/17/2023 8:07:52.6,82,2
7115,4/17/2023 8:07:57.2,82,2
7115,4/17/2023 8:07:58.4,82,2
7115,4/17/2023 8:07:59.1,82,2
7115,4/17/2023 8:07:59.3,82,2
7115,4/17/2023 8:08:1.0,82,2
