LocationIdentifier,Timestamp,EventCode,EventParam
5000,29:07.0,1,2
5000,30:25.3,8,2
5000,32:00.0,1,2
5000,32:55.3,8,2
5000,34:07.3,1,2
5000,35:25.3,8,2
5000,36:53.9,1,2
5000,37:55.3,8,2
5000,39:05.9,1,2
5000,40:25.3,8,2
5000,42:55.3,8,2
5000,44:08.7,1,2
5000,45:25.3,8,2
5000,46:50.5,1,2
5000,47:55.3,8,2
5000,49:06.4,1,2
5000,50:25.3,8,2
5000,51:30.6,1,2
5000,52:55.3,8,2
5000,54:12.8,1,2
5000,55:25.3,8,2
5000,56:31.3,1,2
5000,57:58.4,8,2
5000,59:09.5,1,2
5000,00:25.9,8,2
5000,02:55.3,8,2
5000,04:03.0,1,2
5000,05:25.3,8,2
5000,06:33.8,1,2
5000,07:55.3,8,2
5000,09:09.3,1,2
5000,10:25.3,8,2
5000,12:55.3,8,2
5000,13:59.4,1,2
5000,15:25.3,8,2
5000,16:33.0,1,2
5000,17:55.3,8,2
5000,19:06.4,1,2
5000,20:43.3,8,2
5000,21:39.0,1,2
5000,22:55.3,8,2
5000,23:46.9,1,2
5000,25:25.3,8,2
5000,26:33.9,1,2
5000,27:55.3,8,2
5000,28:57.4,1,2
5000,30:25.3,8,2
5000,32:55.3,8,2
5000,34:04.6,1,2
5000,35:25.3,8,2
5000,36:31.6,1,2
5000,37:55.3,8,2
5000,39:04.1,1,2
5000,40:25.3,8,2
5000,42:55.3,8,2
5000,44:14.5,1,2
5000,45:25.3,8,2
5000,46:31.9,1,2
5000,47:55.3,8,2
5000,49:16.5,1,2
5000,50:25.3,8,2
5000,52:55.3,8,2
5000,53:57.4,1,2
5000,55:25.3,8,2
5000,56:29.7,1,2
5000,57:55.3,8,2
5000,59:30.0,1,2
5000,00:25.3,8,2
5000,01:35.9,1,2
5000,02:55.3,8,2
5000,04:09.2,1,2
5000,05:25.3,8,2
5000,07:00.0,1,2
5000,07:55.3,8,2
5000,08:59.8,1,2
5000,10:25.3,8,2
5000,12:55.3,8,2
5000,14:31.9,1,2
5000,15:25.3,8,2
5000,17:00.0,1,2
5000,18:13.3,8,2
5000,19:04.3,1,2
5000,20:25.3,8,2
5000,23:13.3,8,2
5000,24:22.9,1,2
5000,25:25.3,8,2
5000,26:34.2,1,2
5000,27:55.3,8,2
5000,29:03.9,1,2
5000,30:43.3,8,2
5000,32:55.3,8,2
5000,34:06.5,1,2
5000,35:25.3,8,2
5000,36:37.9,1,2
5000,37:55.3,8,2
5000,39:13.6,1,2
5000,40:43.3,8,2
5000,41:33.3,1,2
5000,42:55.3,8,2
5000,44:04.3,1,2
5000,45:25.3,8,2
5000,46:59.1,1,2
