LocationIdentifier,Timestamp,EventCode,EventParam
7191,12/1/2020 2:19:16.4,1,2
7191,12/1/2020 2:19:35.4,8,2
7191,12/1/2020 2:19:40.2,9,2
7191,12/1/2020 2:19:41.7,11,2
7191,12/1/2020 2:20:23.3,1,2
7191,12/1/2020 2:20:42.3,8,2
7191,12/1/2020 2:20:47.1,9,2
7191,12/1/2020 2:20:48.6,11,2
7191,12/1/2020 2:21:30.2,1,2
7191,12/1/2020 2:21:56.4,8,2
7191,12/1/2020 2:22:01.2,9,2
7191,12/1/2020 2:22:02.7,11,2
7191,12/1/2020 2:22:44.3,1,2
7191,12/1/2020 2:23:03.3,8,2
7191,12/1/2020 2:23:08.1,9,2
7191,12/1/2020 2:23:09.6,11,2
7191,12/1/2020 2:23:51.2,1,2
7191,12/1/2020 2:24:10.2,8,2
7191,12/1/2020 2:24:15.0,9,2
7191,12/1/2020 2:24:16.5,11,2
7191,12/1/2020 2:24:58.1,1,2
7191,12/1/2020 2:25:17.1,8,2
7191,12/1/2020 2:25:21.9,9,2
7191,12/1/2020 2:25:23.4,11,2
7191,12/1/2020 2:26:05.0,1,2
7191,12/1/2020 2:26:24.0,8,2
7191,12/1/2020 2:26:28.8,9,2
7191,12/1/2020 2:26:30.3,11,2
7191,12/1/2020 2:27:23.4,1,2
7191,12/1/2020 2:27:42.4,8,2
7191,12/1/2020 2:27:47.2,9,2
7191,12/1/2020 2:27:48.7,11,2
7191,12/1/2020 2:28:41.1,1,2
7191,12/1/2020 2:29:00.1,8,2
7191,12/1/2020 2:29:04.9,9,2
7191,12/1/2020 2:29:06.4,11,2
7191,12/1/2020 2:29:48.0,1,2
7191,12/1/2020 2:30:07.0,8,2
7191,12/1/2020 2:30:11.8,9,2
7191,12/1/2020 2:30:13.3,11,2
7191,12/1/2020 2:30:54.9,1,2
7191,12/1/2020 2:31:13.9,8,2
7191,12/1/2020 2:31:18.7,9,2
7191,12/1/2020 2:31:20.2,11,2
7191,12/1/2020 2:32:01.8,1,2
7191,12/1/2020 2:32:20.8,8,2
7191,12/1/2020 2:32:25.6,9,2
7191,12/1/2020 2:32:27.1,11,2
7191,12/1/2020 2:33:08.7,1,2
7191,12/1/2020 2:33:27.7,8,2
7191,12/1/2020 2:33:32.5,9,2
7191,12/1/2020 2:33:34.0,11,2
7191,12/1/2020 2:34:15.6,1,2
7191,12/1/2020 2:34:34.6,8,2
7191,12/1/2020 2:34:39.4,9,2
7191,12/1/2020 2:34:40.9,11,2
7191,12/1/2020 2:35:22.5,1,2
7191,12/1/2020 2:35:41.5,8,2
7191,12/1/2020 2:35:46.3,9,2
7191,12/1/2020 2:35:47.8,11,2
7191,12/1/2020 2:36:29.4,1,2
7191,12/1/2020 2:36:48.4,8,2
7191,12/1/2020 2:36:53.2,9,2
7191,12/1/2020 2:36:54.7,11,2
7191,12/1/2020 2:37:47.1,1,2
7191,12/1/2020 2:38:06.1,8,2
7191,12/1/2020 2:38:10.9,9,2
7191,12/1/2020 2:38:12.4,11,2
7191,12/1/2020 2:38:54.0,1,2
7191,12/1/2020 2:39:13.0,8,2
7191,12/1/2020 2:39:17.8,9,2
7191,12/1/2020 2:39:19.3,11,2
7191,12/1/2020 2:40:00.9,1,2
7191,12/1/2020 2:40:19.9,8,2
7191,12/1/2020 2:40:24.7,9,2
7191,12/1/2020 2:40:26.2,11,2
7191,12/1/2020 2:41:07.8,1,2
7191,12/1/2020 2:41:26.8,8,2
7191,12/1/2020 2:41:31.6,9,2
7191,12/1/2020 2:41:33.1,11,2
7191,12/1/2020 2:42:14.6,1,2
7191,12/1/2020 2:42:33.6,8,2
7191,12/1/2020 2:42:38.4,9,2
7191,12/1/2020 2:42:39.9,11,2
7191,12/1/2020 2:43:21.5,1,2
7191,12/1/2020 2:43:40.5,8,2
7191,12/1/2020 2:43:45.3,9,2
7191,12/1/2020 2:43:46.8,11,2
7191,12/1/2020 2:44:28.3,1,2
7191,12/1/2020 2:44:47.3,8,2
7191,12/1/2020 2:44:52.1,9,2
7191,12/1/2020 2:44:53.6,11,2
7191,12/1/2020 2:45:35.2,1,2
7191,12/1/2020 2:45:54.2,8,2
7191,12/1/2020 2:45:59.0,9,2
7191,12/1/2020 2:46:00.5,11,2
7191,12/1/2020 2:46:57.6,1,2
7191,12/1/2020 2:47:16.6,8,2
7191,12/1/2020 2:47:21.4,9,2
7191,12/1/2020 2:47:22.9,11,2
7191,12/1/2020 2:48:04.5,1,2
7191,12/1/2020 2:48:23.5,8,2
7191,12/1/2020 2:48:28.3,9,2
7191,12/1/2020 2:48:29.8,11,2
7191,12/1/2020 2:49:11.4,1,2
7191,12/1/2020 2:49:38.7,8,2
7191,12/1/2020 2:49:43.5,9,2
7191,12/1/2020 2:49:45.0,11,2
7191,12/1/2020 2:50:26.6,1,2
7191,12/1/2020 2:50:45.6,8,2
7191,12/1/2020 2:50:50.4,9,2
7191,12/1/2020 2:50:51.9,11,2
7191,12/1/2020 2:51:33.5,1,2
7191,12/1/2020 2:51:52.5,8,2
7191,12/1/2020 2:51:57.3,9,2
7191,12/1/2020 2:51:58.8,11,2
7191,12/1/2020 2:52:40.4,1,2
7191,12/1/2020 2:52:59.4,8,2
7191,12/1/2020 2:53:04.2,9,2
7191,12/1/2020 2:53:05.7,11,2
7191,12/1/2020 2:53:47.3,1,2
