DetectorId,Mph,Kph,TimeStamp
500006,55,89,6/14/2023 0:56:09.3
500006,49,79,6/14/2023 0:56:47.5
500008,40,64,6/14/2023 0:57:23.7
500008,47,76,6/14/2023 0:57:30.1
500008,48,77,6/14/2023 0:57:49.1
500006,58,93,6/14/2023 0:58:03.5
500006,55,89,6/14/2023 0:58:21.6
500006,40,64,6/14/2023 0:58:25.0
500008,43,69,6/14/2023 0:58:54.7
500006,45,72,6/14/2023 0:59:09.8
500008,52,84,6/14/2023 0:59:45.2
500006,41,66,6/14/2023 0:59:53.9
500006,47,76,6/14/2023 1:00:07.7
500008,41,66,6/14/2023 1:00:11.6
500008,29,47,6/14/2023 1:00:29.2
500008,48,77,6/14/2023 1:00:42.9
500008,32,51,6/14/2023 1:01:06.3
500006,40,64,6/14/2023 1:01:22.5
500006,40,64,6/14/2023 1:01:25.3
500008,48,77,6/14/2023 1:01:42.0
500008,46,74,6/14/2023 1:02:09.9
500006,58,93,6/14/2023 1:02:32.6
500006,39,63,6/14/2023 1:02:42.2
500006,26,42,6/14/2023 1:03:05.4
500006,44,71,6/14/2023 1:03:26.3
500008,33,53,6/14/2023 1:03:34.3
500008,36,58,6/14/2023 1:04:49.2
500006,42,68,6/14/2023 1:05:08.0
500006,43,69,6/14/2023 1:05:38.1
500006,45,72,6/14/2023 1:05:44.3
500008,45,72,6/14/2023 1:06:09.6
500006,38,61,6/14/2023 1:06:19.5
500006,48,77,6/14/2023 1:06:50.5
500006,55,89,6/14/2023 1:06:57.2
500006,49,79,6/14/2023 1:07:16.3
500006,35,56,6/14/2023 1:07:28.3
500006,42,68,6/14/2023 1:07:36.0
500006,44,71,6/14/2023 1:08:57.2
500008,36,58,6/14/2023 1:09:17.5
500006,49,79,6/14/2023 1:09:34.5
500006,42,68,6/14/2023 1:10:01.4
500006,43,69,6/14/2023 1:10:07.7
500006,45,72,6/14/2023 1:10:08.7
500008,55,89,6/14/2023 1:10:17.8
500008,49,79,6/14/2023 1:10:26.1
500008,44,71,6/14/2023 1:10:33.8
500008,37,60,6/14/2023 1:10:35.1
500006,35,56,6/14/2023 1:10:55.3
500006,41,66,6/14/2023 1:11:10.7
500006,49,79,6/14/2023 1:11:21.8
500006,46,74,6/14/2023 1:11:29.8
500006,41,66,6/14/2023 1:11:48.7
500006,52,84,6/14/2023 1:11:49.7
500006,50,80,6/14/2023 1:12:00.4
500006,48,77,6/14/2023 1:12:36.9
500008,49,79,6/14/2023 1:12:43.2
500006,39,63,6/14/2023 1:13:02.0
500008,34,55,6/14/2023 1:13:06.2
500008,45,72,6/14/2023 1:13:34.7
500006,40,64,6/14/2023 1:13:47.6
500006,48,77,6/14/2023 1:13:57.9
500006,51,82,6/14/2023 1:14:30.4
500008,42,68,6/14/2023 1:14:36.2
500008,54,87,6/14/2023 1:14:53.7
500006,30,48,6/14/2023 1:14:59.6
500008,48,77,6/14/2023 1:15:46.2
500008,42,68,6/14/2023 1:15:53.4
500006,39,63,6/14/2023 1:15:57.6
500006,43,69,6/14/2023 1:16:10.7
500008,40,64,6/14/2023 1:16:28.7
500006,42,68,6/14/2023 1:16:46.1
500006,40,64,6/14/2023 1:17:03.4
500006,41,66,6/14/2023 1:17:41.1
500006,42,68,6/14/2023 1:17:45.1
500008,52,84,6/14/2023 1:18:02.3
500008,9,14,6/14/2023 1:18:12.4
500008,9,14,6/14/2023 1:18:14.4
500006,52,84,6/14/2023 1:18:36.2
500006,43,69,6/14/2023 1:19:02.0
500006,55,89,6/14/2023 1:19:28.1
500006,36,58,6/14/2023 1:19:29.1
500008,53,85,6/14/2023 1:19:51.1
500008,44,71,6/14/2023 1:19:51.5
500008,50,80,6/14/2023 1:20:39.6
500008,48,77,6/14/2023 1:20:44.2
500006,54,87,6/14/2023 1:20:56.0
500006,41,66,6/14/2023 1:20:59.2
500008,42,68,6/14/2023 1:21:21.4
500006,39,63,6/14/2023 1:21:23.1
500008,33,53,6/14/2023 1:21:36.4
500008,47,76,6/14/2023 1:22:18.4
500008,49,79,6/14/2023 1:23:00.1
500008,48,77,6/14/2023 1:23:01.3
500006,45,72,6/14/2023 1:23:12.4
500008,46,74,6/14/2023 1:23:29.0
500006,49,79,6/14/2023 1:23:33.0
500006,45,72,6/14/2023 1:23:36.8
500008,41,66,6/14/2023 1:24:01.3
500008,48,77,6/14/2023 1:24:06.2
500008,47,76,6/14/2023 1:24:09.1
500006,44,71,6/14/2023 1:24:37.2
500006,41,66,6/14/2023 1:24:41.5
500008,43,69,6/14/2023 1:24:52.8
500006,44,71,6/14/2023 1:25:05.4
500006,43,69,6/14/2023 1:25:39.8
500006,42,68,6/14/2023 1:25:41.4
500006,51,82,6/14/2023 1:25:58.5
500006,48,77,6/14/2023 1:26:54.7
500008,40,64,6/14/2023 1:27:14.6
500008,42,68,6/14/2023 1:27:15.3
500008,41,66,6/14/2023 1:27:26.7
500006,47,76,6/14/2023 1:27:39.1
500008,37,60,6/14/2023 1:29:20.7
500008,40,64,6/14/2023 1:30:23.9
500008,55,89,6/14/2023 1:30:31.8
500008,26,42,6/14/2023 1:30:58.9
500006,27,43,6/14/2023 1:31:24.8
500008,24,39,6/14/2023 1:33:00.3
500006,29,47,6/14/2023 1:33:32.8
500008,33,53,6/14/2023 1:33:33.8
500006,29,47,6/14/2023 1:33:35.0
500008,40,64,6/14/2023 1:34:04.7
500008,29,47,6/14/2023 1:34:24.3
500008,47,76,6/14/2023 1:34:27.1
500008,42,68,6/14/2023 1:34:37.3
500006,37,60,6/14/2023 1:34:48.4
500006,41,66,6/14/2023 1:34:54.2
500006,45,72,6/14/2023 1:35:05.6
500006,30,48,6/14/2023 1:35:08.1
500006,47,76,6/14/2023 1:36:21.6
500006,38,61,6/14/2023 1:36:48.9
500006,50,80,6/14/2023 1:37:07.6
500008,47,76,6/14/2023 1:37:40.3
500006,31,50,6/14/2023 1:38:08.7
500008,38,61,6/14/2023 1:39:07.9
500006,51,82,6/14/2023 1:39:54.0
500008,42,68,6/14/2023 1:41:14.0
500008,48,77,6/14/2023 1:41:44.1
500006,35,56,6/14/2023 1:43:16.4
500008,45,72,6/14/2023 1:43:17.4
500008,43,69,6/14/2023 1:44:11.9
500008,47,76,6/14/2023 1:45:08.8
500006,41,66,6/14/2023 1:45:47.9
500006,38,61,6/14/2023 1:46:07.2
500008,42,68,6/14/2023 1:47:03.2
500008,40,64,6/14/2023 1:47:33.3
500006,42,68,6/14/2023 1:47:35.8
500006,55,89,6/14/2023 1:49:23.0
500006,43,69,6/14/2023 1:50:01.6
500006,46,74,6/14/2023 1:51:12.0
500008,41,66,6/14/2023 1:51:12.2
500006,43,69,6/14/2023 1:52:12.7
500008,42,68,6/14/2023 1:53:09.9
500006,50,80,6/14/2023 1:53:24.0
500008,41,66,6/14/2023 1:54:19.1
500006,53,85,6/14/2023 1:54:39.2
500008,42,68,6/14/2023 1:54:57.7
500008,41,66,6/14/2023 1:55:38.4
500006,46,74,6/14/2023 1:55:49.0
500006,52,84,6/14/2023 1:55:56.7
500008,46,74,6/14/2023 1:56:11.0
500006,46,74,6/14/2023 1:57:44.9
500008,42,68,6/14/2023 1:58:05.7
500008,40,64,6/14/2023 1:58:48.0
500008,9,14,6/14/2023 1:59:34.0
500006,36,58,6/14/2023 2:00:05.1
500006,47,76,6/14/2023 2:01:05.7
500008,47,76,6/14/2023 2:02:21.4
500008,42,68,6/14/2023 2:03:30.0
500006,43,69,6/14/2023 2:04:14.7
500006,25,40,6/14/2023 2:04:31.6
500006,46,74,6/14/2023 2:05:33.0
500006,51,82,6/14/2023 2:06:05.8
500006,54,87,6/14/2023 2:06:24.7
500008,36,58,6/14/2023 2:06:59.6
500006,36,58,6/14/2023 2:07:20.1
500008,45,72,6/14/2023 2:08:04.4
500008,48,77,6/14/2023 2:08:52.2
500006,41,66,6/14/2023 2:12:26.1
500006,50,80,6/14/2023 2:14:02.0
500008,44,71,6/14/2023 2:14:11.3
500006,44,71,6/14/2023 2:14:38.6
500006,42,68,6/14/2023 2:15:15.7
500008,42,68,6/14/2023 2:16:00.3
500008,44,71,6/14/2023 2:16:22.3
500008,43,69,6/14/2023 2:16:25.4
500006,38,61,6/14/2023 2:16:26.6
500008,38,61,6/14/2023 2:16:54.2
500006,51,82,6/14/2023 2:17:09.9
500008,43,69,6/14/2023 2:17:10.2
500006,55,89,6/14/2023 2:17:10.3
500008,42,68,6/14/2023 2:17:32.0
500008,34,55,6/14/2023 2:21:40.9
500008,34,55,6/14/2023 2:22:34.2
500008,41,66,6/14/2023 2:23:16.4
500008,43,69,6/14/2023 2:23:24.0
500008,47,76,6/14/2023 2:23:42.2
500008,41,66,6/14/2023 2:24:22.3
500006,36,58,6/14/2023 2:24:41.5
500008,44,71,6/14/2023 2:26:44.5
500008,41,66,6/14/2023 2:26:48.6
500008,38,61,6/14/2023 2:28:10.0
500006,47,76,6/14/2023 2:28:25.7
500006,37,60,6/14/2023 2:28:35.4
500008,46,74,6/14/2023 2:28:49.9
500006,43,69,6/14/2023 2:30:03.6
500008,44,71,6/14/2023 2:30:15.5
500008,42,68,6/14/2023 2:31:02.7
500008,43,69,6/14/2023 2:31:04.6
500008,47,76,6/14/2023 2:31:25.2
500008,39,63,6/14/2023 2:32:06.6
500008,39,63,6/14/2023 2:32:19.3
500008,35,56,6/14/2023 2:32:20.2
500008,42,68,6/14/2023 2:32:28.8
500008,41,66,6/14/2023 2:32:55.2
500006,27,43,6/14/2023 2:33:05.1
