SignalIdentifier,EventParam,TimeStamp,EventCode
7191,2,12/1/2020 6:51:17.3,82
7191,2,12/1/2020 6:51:18.7,82
7191,2,12/1/2020 6:51:24.6,82
7191,2,12/1/2020 6:51:41.6,82
7191,2,12/1/2020 6:51:43.1,82
7191,2,12/1/2020 6:51:46.0,82
7191,2,12/1/2020 6:51:53.0,82
7191,2,12/1/2020 6:51:54.7,82
7191,2,12/1/2020 6:51:56.4,82
7191,2,12/1/2020 6:52:03.7,82
7191,2,12/1/2020 6:52:32.1,82
7191,2,12/1/2020 6:52:33.4,82
7191,2,12/1/2020 6:52:36.8,82
7191,2,12/1/2020 6:52:38.3,82
7191,2,12/1/2020 6:52:39.6,82
7191,2,12/1/2020 6:52:40.2,82
7191,2,12/1/2020 6:52:50.7,82
7191,2,12/1/2020 6:52:54.0,82
7191,2,12/1/2020 6:52:56.5,82
7191,2,12/1/2020 6:52:57.8,82
7191,2,12/1/2020 6:53:03.5,82
7191,2,12/1/2020 6:53:04.6,82
7191,2,12/1/2020 6:53:07.5,82
7191,2,12/1/2020 6:53:16.9,82
7191,2,12/1/2020 6:53:21.9,82
7191,2,12/1/2020 6:53:30.8,82
7191,2,12/1/2020 6:53:37.8,82
7191,2,12/1/2020 6:53:51.6,82
7191,2,12/1/2020 6:53:52.3,82
7191,2,12/1/2020 6:54:10.3,82
7191,2,12/1/2020 6:54:12.6,82
7191,2,12/1/2020 6:54:13.4,82
7191,2,12/1/2020 6:54:36.4,82
7191,2,12/1/2020 6:54:43.8,82
7191,2,12/1/2020 6:54:44.7,82
7191,2,12/1/2020 6:54:45.8,82
7191,2,12/1/2020 6:54:46.6,82
7191,2,12/1/2020 6:54:50.8,82
7191,2,12/1/2020 6:54:52.1,82
7191,2,12/1/2020 6:54:52.7,82
7191,2,12/1/2020 6:54:55.0,82
7191,2,12/1/2020 6:54:55.8,82
7191,2,12/1/2020 6:54:57.6,82
7191,2,12/1/2020 6:54:59.2,82
7191,2,12/1/2020 6:55:10.3,82
7191,2,12/1/2020 6:55:16.3,82
7191,2,12/1/2020 6:55:27.5,82
7191,2,12/1/2020 6:55:31.4,82
7191,2,12/1/2020 6:55:44.9,82
7191,2,12/1/2020 6:55:52.3,82
7191,2,12/1/2020 6:56:02.0,82
7191,2,12/1/2020 6:56:06.8,82
7191,2,12/1/2020 6:56:12.2,82
7191,2,12/1/2020 6:56:22.1,82
7191,2,12/1/2020 6:56:38.6,82
7191,2,12/1/2020 6:56:41.6,82
7191,2,12/1/2020 6:56:42.6,82
7191,2,12/1/2020 6:56:44.5,82
7191,2,12/1/2020 6:56:47.2,82
7191,2,12/1/2020 6:57:21.6,82
7191,2,12/1/2020 6:57:45.7,82
7191,2,12/1/2020 6:57:48.4,82
7191,2,12/1/2020 6:57:51.5,82
7191,2,12/1/2020 6:58:03.6,82
7191,2,12/1/2020 6:58:11.9,82
7191,2,12/1/2020 6:58:13.2,82
7191,2,12/1/2020 6:58:15.2,82
7191,2,12/1/2020 6:58:23.9,82
7191,2,12/1/2020 6:58:34.4,82
7191,2,12/1/2020 6:58:34.7,82
7191,2,12/1/2020 6:58:37.1,82
7191,2,12/1/2020 6:58:40.0,82
7191,2,12/1/2020 6:58:47.4,82
7191,2,12/1/2020 6:58:48.3,82
7191,2,12/1/2020 6:58:51.7,82
7191,2,12/1/2020 6:58:57.7,82
