SignalIdentifier,EventCode,EventParam,Timestamp
7115,81,21,8/9/2023 15:51:25.0
7115,81,19,8/9/2023 15:51:28.3
7115,82,21,8/9/2023 15:51:30.5
7115,81,21,8/9/2023 15:51:30.8
7115,82,21,8/9/2023 15:51:31.1
7115,81,21,8/9/2023 15:51:33.8
7115,82,19,8/9/2023 15:51:40.5
7115,81,19,8/9/2023 15:51:43.0
7115,82,19,8/9/2023 15:52:40.9
7115,82,21,8/9/2023 15:52:53.3
7115,81,21,8/9/2023 15:53:49.1
7115,82,21,8/9/2023 15:53:49.6
7115,81,19,8/9/2023 15:53:50.0
7115,82,19,8/9/2023 15:53:51.4
7115,81,21,8/9/2023 15:53:51.6
7115,81,19,8/9/2023 15:53:51.7
7115,82,21,8/9/2023 15:53:53.2
7115,82,19,8/9/2023 15:53:54.8
7115,81,21,8/9/2023 15:53:56.3
7115,81,19,8/9/2023 15:53:57.0
7115,82,20,8/9/2023 15:54:55.0
7115,82,21,8/9/2023 15:54:58.1
7115,82,19,8/9/2023 15:55:12.8
7115,81,20,8/9/2023 15:56:01.7
7115,82,20,8/9/2023 15:56:08.7
7115,81,20,8/9/2023 15:56:16.6
7115,82,20,8/9/2023 15:56:17.2
7115,81,20,8/9/2023 15:56:19.0
7115,82,20,8/9/2023 15:56:19.8
7115,81,21,8/9/2023 15:56:22.4
7115,81,19,8/9/2023 15:56:24.1
7115,82,19,8/9/2023 15:56:24.5
7115,81,20,8/9/2023 15:56:25.0
7115,82,20,8/9/2023 15:56:25.5
7115,81,19,8/9/2023 15:56:26.1
7115,81,20,8/9/2023 15:56:27.7
7115,82,21,8/9/2023 15:56:35.8
7115,81,21,8/9/2023 15:56:38.6
7115,82,19,8/9/2023 15:56:42.4
7115,82,20,8/9/2023 15:56:43.4
7115,81,19,8/9/2023 15:56:43.8
7115,81,20,8/9/2023 15:56:44.8
7115,82,21,8/9/2023 15:57:02.8
7115,81,21,8/9/2023 15:57:03.7
7115,82,21,8/9/2023 15:57:23.9
7115,82,20,8/9/2023 15:57:49.5
7115,82,19,8/9/2023 15:58:31.1
7115,81,19,8/9/2023 15:58:34.1
7115,82,19,8/9/2023 15:58:41.1
7115,81,20,8/9/2023 15:58:53.2
7115,81,21,8/9/2023 15:58:54.0
7115,82,21,8/9/2023 15:58:54.1
7115,81,19,8/9/2023 15:58:54.8
7115,81,21,8/9/2023 15:58:56.0
7115,82,21,8/9/2023 15:58:56.8
7115,81,21,8/9/2023 15:58:58.6
7115,82,19,8/9/2023 15:58:59.6
7115,81,19,8/9/2023 15:59:01.0
7115,82,20,8/9/2023 15:59:15.8
7115,81,20,8/9/2023 15:59:16.8
7115,82,20,8/9/2023 16:00:07.7
7115,82,19,8/9/2023 16:00:17.5
7115,81,19,8/9/2023 16:00:20.6
7115,82,19,8/9/2023 16:00:27.2
7115,81,19,8/9/2023 16:00:27.5
7115,82,19,8/9/2023 16:00:28.6
7115,82,21,8/9/2023 16:01:18.8
7115,81,20,8/9/2023 16:01:20.1
7115,81,21,8/9/2023 16:01:21.6
7115,82,21,8/9/2023 16:01:22.0
7115,81,21,8/9/2023 16:01:23.8
7115,81,19,8/9/2023 16:01:24.0
7115,82,20,8/9/2023 16:01:56.2
7115,81,20,8/9/2023 16:01:57.7
7115,82,21,8/9/2023 16:02:27.3
7115,82,19,8/9/2023 16:02:54.3
7115,81,19,8/9/2023 16:03:52.0
7115,81,21,8/9/2023 16:03:54.1
7115,82,21,8/9/2023 16:03:54.4
7115,82,20,8/9/2023 16:03:55.3
7115,81,21,8/9/2023 16:03:56.5
7115,81,20,8/9/2023 16:03:57.5
7115,82,20,8/9/2023 16:04:04.0
7115,82,21,8/9/2023 16:04:04.6
7115,82,19,8/9/2023 16:04:05.9
7115,81,21,8/9/2023 16:04:06.8
7115,81,20,8/9/2023 16:04:06.9
7115,81,19,8/9/2023 16:04:07.3
7115,82,20,8/9/2023 16:04:32.9
7115,81,20,8/9/2023 16:04:34.0
7115,82,19,8/9/2023 16:05:10.5
7115,82,21,8/9/2023 16:05:11.5
7115,82,20,8/9/2023 16:05:36.0
7115,81,21,8/9/2023 16:06:21.6
7115,81,20,8/9/2023 16:06:24.1
7115,82,20,8/9/2023 16:06:24.2
7115,81,19,8/9/2023 16:06:25.3
7115,82,19,8/9/2023 16:06:26.1
7115,81,20,8/9/2023 16:06:27.3
7115,82,21,8/9/2023 16:06:27.5
7115,81,19,8/9/2023 16:06:27.6
7115,82,19,8/9/2023 16:06:29.3
7115,81,19,8/9/2023 16:06:31.1
7115,81,21,8/9/2023 16:06:31.4
7115,82,19,8/9/2023 16:06:31.8
7115,81,19,8/9/2023 16:06:34.5
7115,82,19,8/9/2023 16:06:52.0
7115,81,19,8/9/2023 16:06:54.3
7115,82,20,8/9/2023 16:06:56.9
7115,81,20,8/9/2023 16:07:00.5
7115,82,21,8/9/2023 16:07:01.0
7115,81,21,8/9/2023 16:07:02.3
7115,82,20,8/9/2023 16:07:38.0
7115,82,19,8/9/2023 16:07:45.5
7115,82,21,8/9/2023 16:08:13.9
7115,81,20,8/9/2023 16:08:52.6
7115,82,20,8/9/2023 16:08:53.0
7115,81,21,8/9/2023 16:08:53.6
7115,81,19,8/9/2023 16:08:55.1
7115,81,20,8/9/2023 16:08:56.0
7115,82,21,8/9/2023 16:08:58.9
7115,81,21,8/9/2023 16:09:01.2
7115,82,19,8/9/2023 16:09:04.2
7115,81,19,8/9/2023 16:09:11.0
7115,82,20,8/9/2023 16:09:30.6
7115,81,20,8/9/2023 16:09:31.7
7115,82,21,8/9/2023 16:09:42.8
7115,81,21,8/9/2023 16:09:45.0
7115,82,20,8/9/2023 16:09:52.0
7115,81,20,8/9/2023 16:09:52.4
7115,82,20,8/9/2023 16:09:56.4
7115,82,19,8/9/2023 16:10:09.8
7115,82,21,8/9/2023 16:10:59.3
7115,81,21,8/9/2023 16:11:02.3
7115,81,19,8/9/2023 16:11:22.3
7115,81,20,8/9/2023 16:11:26.1
7115,82,21,8/9/2023 16:12:32.2
7115,82,19,8/9/2023 16:12:42.9
7115,82,20,8/9/2023 16:12:46.1
7115,81,19,8/9/2023 16:13:52.0
7115,81,20,8/9/2023 16:13:52.1
7115,81,21,8/9/2023 16:13:52.5
7115,82,19,8/9/2023 16:13:54.2
7115,82,21,8/9/2023 16:13:54.2
7115,81,19,8/9/2023 16:13:55.3
7115,81,21,8/9/2023 16:13:56.3
7115,82,19,8/9/2023 16:13:56.3
7115,82,21,8/9/2023 16:13:57.1
7115,81,19,8/9/2023 16:13:57.8
7115,81,21,8/9/2023 16:13:59.0
7115,82,20,8/9/2023 16:14:02.0
7115,81,20,8/9/2023 16:14:04.1
7115,82,19,8/9/2023 16:14:24.4
7115,81,19,8/9/2023 16:14:25.8
7115,82,20,8/9/2023 16:14:28.9
7115,81,20,8/9/2023 16:14:30.9
7115,82,20,8/9/2023 16:15:14.5
7115,82,19,8/9/2023 16:15:23.7
7115,82,21,8/9/2023 16:15:27.4
7115,81,21,8/9/2023 16:16:17.1
7115,81,20,8/9/2023 16:16:22.3
7115,81,19,8/9/2023 16:16:23.5
7115,82,19,8/9/2023 16:16:31.9
7115,81,19,8/9/2023 16:16:33.1
7115,82,21,8/9/2023 16:17:29.2
7115,82,19,8/9/2023 16:17:41.3
7115,82,20,8/9/2023 16:17:42.9
7115,81,19,8/9/2023 16:18:51.9
7115,81,21,8/9/2023 16:18:53.4
7115,82,21,8/9/2023 16:18:53.5
7115,81,20,8/9/2023 16:18:54.0
